year,description,st_gdp,state,st_fips,st_pop,gdp_pk
2021,Services-Producing,91715807,ME,23,2754476,33.3
2001,Goods-Producing,52951301,MD,24,10749382,4.93
2002,Goods-Producing,58587422,MD,24,10880778,5.38
2003,Goods-Producing,54435860,MD,24,10992538,4.95
2004,Goods-Producing,62782099,MD,24,11093870,5.66
2005,Goods-Producing,61580566,MD,24,11184758,5.51
2006,Goods-Producing,60912837,MD,24,11254734,5.41
2007,Goods-Producing,61308429,MD,24,11306816,5.42
2008,Goods-Producing,59682257,MD,24,11369930,5.25
2009,Goods-Producing,62137028,MD,24,11460776,5.42
2010,Goods-Producing,58604935,MD,24,11583118,5.06
2011,Goods-Producing,57557279,MD,24,11708564,4.92
2012,Goods-Producing,57842302,MD,24,11827838,4.89
2013,Goods-Producing,57466723,MD,24,11924700,4.82
2014,Goods-Producing,61630839,MD,24,12017950,5.13
2015,Goods-Producing,59613589,MD,24,12098578,4.93
2016,Goods-Producing,72796219,MD,24,12159338,5.99
2017,Goods-Producing,77046253,MD,24,12225670,6.3
2018,Goods-Producing,72724020,MD,24,12277572,5.92
2019,Goods-Producing,71984896,MD,24,12327256,5.84
2020,Goods-Producing,72525082,MD,24,12346410,5.87
2021,Goods-Producing,72934471,MD,24,12349220,5.91
2001,Services-Producing,274322316,MD,24,10749382,25.52
2002,Services-Producing,308811758,MD,24,10880778,28.38
2003,Services-Producing,303740797,MD,24,10992538,27.63
2004,Services-Producing,331860508,MD,24,11093870,29.91
2005,Services-Producing,350723272,MD,24,11184758,31.36
2006,Services-Producing,351703968,MD,24,11254734,31.25
2007,Services-Producing,349857351,MD,24,11306816,30.94
2008,Services-Producing,362889604,MD,24,11369930,31.92
2009,Services-Producing,369652088,MD,24,11460776,32.25
2010,Services-Producing,366592519,MD,24,11583118,31.65
2011,Services-Producing,378807434,MD,24,11708564,32.35
2012,Services-Producing,390726609,MD,24,11827838,33.03
2013,Services-Producing,363047957,MD,24,11924700,30.45
2014,Services-Producing,399828800,MD,24,12017950,33.27
2015,Services-Producing,378490608,MD,24,12098578,31.28
2016,Services-Producing,460280617,MD,24,12159338,37.85
2017,Services-Producing,467632921,MD,24,12225670,38.25
2018,Services-Producing,428248717,MD,24,12277572,34.88
2019,Services-Producing,427753957,MD,24,12327256,34.7
2020,Services-Producing,403278901,MD,24,12346410,32.66
2021,Services-Producing,433033005,MD,24,12349220,35.07
2001,Goods-Producing,92639896,MA,25,12795268,7.24
2002,Goods-Producing,94156830,MA,25,12834412,7.34
2003,Goods-Producing,102936382,MA,25,12845130,8.01
2004,Goods-Producing,102508641,MA,25,12824562,7.99
2005,Goods-Producing,103786341,MA,25,12806580,8.1
2006,Goods-Producing,109232338,MA,25,12820168,8.52
2007,Goods-Producing,118060396,MA,25,12863118,9.18
2008,Goods-Producing,112880826,MA,25,12937934,8.72
2009,Goods-Producing,105739651,MA,25,13035226,8.11
2010,Goods-Producing,115108084,MA,25,13139074,8.76
2011,Goods-Producing,116080894,MA,25,13259726,8.75
2012,Goods-Producing,123281962,MA,25,13385424,9.21
2013,Goods-Producing,122935886,MA,25,13513166,9.1
2014,Goods-Producing,123787146,MA,25,13638960,9.08
2015,Goods-Producing,128398332,MA,25,13730668,9.35
2016,Goods-Producing,128201231,MA,25,13817032,9.28
2017,Goods-Producing,129253296,MA,25,13916748,9.29
2018,Goods-Producing,131938134,MA,25,13988108,9.43
2019,Goods-Producing,131338712,MA,25,14033236,9.36
2020,Goods-Producing,130548861,MA,25,13991458,9.33
2021,Goods-Producing,137150369,MA,25,13979380,9.81
2001,Services-Producing,524977085,MA,25,12795268,41.03
2002,Services-Producing,523058871,MA,25,12834412,40.75
2003,Services-Producing,524902738,MA,25,12845130,40.86
2004,Services-Producing,545747577,MA,25,12824562,42.55
2005,Services-Producing,558075652,MA,25,12806580,43.58
2006,Services-Producing,568085986,MA,25,12820168,44.31
2007,Services-Producing,576075467,MA,25,12863118,44.79
2008,Services-Producing,600213058,MA,25,12937934,46.39
2009,Services-Producing,595197282,MA,25,13035226,45.66
2010,Services-Producing,623081054,MA,25,13139074,47.42
2011,Services-Producing,635052296,MA,25,13259726,47.89
2012,Services-Producing,669125873,MA,25,13385424,49.99
2013,Services-Producing,673078799,MA,25,13513166,49.81
2014,Services-Producing,672267264,MA,25,13638960,49.29
2015,Services-Producing,702428989,MA,25,13730668,51.16
2016,Services-Producing,715171253,MA,25,13817032,51.76
2017,Services-Producing,727981318,MA,25,13916748,52.31
2018,Services-Producing,743129265,MA,25,13988108,53.13
2019,Services-Producing,771008751,MA,25,14033236,54.94
2020,Services-Producing,768349526,MA,25,13991458,54.92
2021,Services-Producing,827167633,MA,25,13979380,59.17
2001,Goods-Producing,171029554,MI,26,19982240,8.56
2002,Goods-Producing,178122985,MI,26,20031420,8.89
2003,Goods-Producing,177606157,MI,26,20082304,8.84
2004,Goods-Producing,156383561,MI,26,20110630,7.78
2005,Goods-Producing,187762915,MI,26,20102274,9.34
2006,Goods-Producing,185099817,MI,26,20072162,9.22
2007,Goods-Producing,187998117,MI,26,20002568,9.4
2008,Goods-Producing,162090090,MI,26,19893778,8.15
2009,Goods-Producing,122143317,MI,26,19803182,6.17
2010,Goods-Producing,151760931,MI,26,19760152,7.68
2011,Goods-Producing,166111877,MI,26,19790976,8.39
2012,Goods-Producing,171642943,MI,26,19841502,8.65
2013,Goods-Producing,183392765,MI,26,19894616,9.22
2014,Goods-Producing,161928513,MI,26,19949260,8.12
2015,Goods-Producing,160228984,MI,26,19974274,8.02
2016,Goods-Producing,164358449,MI,26,20033960,8.2
2017,Goods-Producing,164478630,MI,26,20099736,8.18
2018,Goods-Producing,174183567,MI,26,20141220,8.65
2019,Goods-Producing,183528468,MI,26,20156472,9.11
2020,Goods-Producing,175055648,MI,26,20139154,8.69
2021,Goods-Producing,179623740,MI,26,20075008,8.95
2001,Services-Producing,461981124,MI,26,19982240,23.12
2002,Services-Producing,469344880,MI,26,20031420,23.43
2003,Services-Producing,475936708,MI,26,20082304,23.7
2004,Services-Producing,429230824,MI,26,20110630,21.34
2005,Services-Producing,522708272,MI,26,20102274,26
2006,Services-Producing,517443281,MI,26,20072162,25.78
2007,Services-Producing,515667145,MI,26,20002568,25.78
2008,Services-Producing,495854789,MI,26,19893778,24.93
2009,Services-Producing,470000146,MI,26,19803182,23.73
2010,Services-Producing,480479858,MI,26,19760152,24.32
2011,Services-Producing,491228790,MI,26,19790976,24.82
2012,Services-Producing,498725619,MI,26,19841502,25.14
2013,Services-Producing,510598633,MI,26,19894616,25.67
2014,Services-Producing,465801091,MI,26,19949260,23.35
2015,Services-Producing,477741743,MI,26,19974274,23.92
2016,Services-Producing,491900323,MI,26,20033960,24.55
2017,Services-Producing,489172452,MI,26,20099736,24.34
2018,Services-Producing,513199881,MI,26,20141220,25.48
2019,Services-Producing,567593335,MI,26,20156472,28.16
2020,Services-Producing,545082519,MI,26,20139154,27.07
2021,Services-Producing,521775766,MI,26,20075008,25.99
2001,Goods-Producing,81973061,MN,27,9965592,8.23
2002,Goods-Producing,87636915,MN,27,10037870,8.73
2003,Goods-Producing,95326558,MN,27,10107144,9.43
2004,Goods-Producing,106409580,MN,27,10175426,10.46
2005,Goods-Producing,105601895,MN,27,10239196,10.31
2006,Goods-Producing,117548762,MN,27,10327110,11.38
2007,Goods-Producing,112843346,MN,27,10414406,10.84
2008,Goods-Producing,110999374,MN,27,10494036,10.58
2009,Goods-Producing,98781855,MN,27,10562406,9.35
2010,Goods-Producing,102858313,MN,27,10624226,9.68
2011,Goods-Producing,109584328,MN,27,10705144,10.24
2012,Goods-Producing,116882904,MN,27,10776594,10.85
2013,Goods-Producing,116187209,MN,27,10860856,10.7
2014,Goods-Producing,120313995,MN,27,10946706,10.99
2015,Goods-Producing,122523429,MN,27,11019428,11.12
2016,Goods-Producing,123354472,MN,27,11112452,11.1
2017,Goods-Producing,126072077,MN,27,11210768,11.25
2018,Goods-Producing,129031769,MN,27,11300298,11.42
2019,Goods-Producing,127622359,MN,27,11373466,11.22
2020,Goods-Producing,125021772,MN,27,11419704,10.95
2021,Goods-Producing,133268050,MN,27,11422942,11.67
2001,Services-Producing,286350909,MN,27,9965592,28.73
2002,Services-Producing,296257873,MN,27,10037870,29.51
2003,Services-Producing,303779555,MN,27,10107144,30.06
2004,Services-Producing,321147734,MN,27,10175426,31.56
2005,Services-Producing,328775396,MN,27,10239196,32.11
2006,Services-Producing,362376781,MN,27,10327110,35.09
2007,Services-Producing,375681138,MN,27,10414406,36.07
2008,Services-Producing,364003443,MN,27,10494036,34.69
2009,Services-Producing,348191703,MN,27,10562406,32.97
2010,Services-Producing,357726779,MN,27,10624226,33.67
2011,Services-Producing,370655396,MN,27,10705144,34.62
2012,Services-Producing,386514601,MN,27,10776594,35.87
2013,Services-Producing,387365221,MN,27,10860856,35.67
2014,Services-Producing,397317051,MN,27,10946706,36.3
2015,Services-Producing,413579722,MN,27,11019428,37.53
2016,Services-Producing,419133470,MN,27,11112452,37.72
2017,Services-Producing,429208321,MN,27,11210768,38.29
2018,Services-Producing,440818743,MN,27,11300298,39.01
2019,Services-Producing,447746121,MN,27,11373466,39.37
2020,Services-Producing,437458538,MN,27,11419704,38.31
2021,Services-Producing,464383752,MN,27,11422942,40.65
2001,Goods-Producing,43195335,MS,28,5705988,7.57
2002,Goods-Producing,41131343,MS,28,5717362,7.19
2003,Goods-Producing,46958115,MS,28,5736624,8.19
2004,Goods-Producing,48376744,MS,28,5778020,8.37
2005,Goods-Producing,48019551,MS,28,5811886,8.26
2006,Goods-Producing,51622169,MS,28,5809956,8.89
2007,Goods-Producing,53595934,MS,28,5856700,9.15
2008,Goods-Producing,52657364,MS,28,5895612,8.93
2009,Goods-Producing,46988534,MS,28,5917548,7.94
2010,Goods-Producing,47010525,MS,28,5940732,7.91
2011,Goods-Producing,44799975,MS,28,5955794,7.52
2012,Goods-Producing,46621837,MS,28,5964684,7.82
2013,Goods-Producing,45889807,MS,28,5973148,7.68
2014,Goods-Producing,45404769,MS,28,5975242,7.6
2015,Goods-Producing,44444507,MS,28,5969918,7.44
2016,Goods-Producing,43854970,MS,28,5968634,7.35
2017,Goods-Producing,44710873,MS,28,5966786,7.49
2018,Goods-Producing,44047532,MS,28,5949236,7.4
2019,Goods-Producing,43408083,MS,28,5937962,7.31
2020,Goods-Producing,43546893,MS,28,5916282,7.36
2021,Goods-Producing,47467339,MS,28,5899172,8.05
2001,Services-Producing,98792789,MS,28,5705988,17.31
2002,Services-Producing,100763677,MS,28,5717362,17.62
2003,Services-Producing,102514766,MS,28,5736624,17.87
2004,Services-Producing,106247925,MS,28,5778020,18.39
2005,Services-Producing,106283739,MS,28,5811886,18.29
2006,Services-Producing,108213856,MS,28,5809956,18.63
2007,Services-Producing,107977566,MS,28,5856700,18.44
2008,Services-Producing,110830650,MS,28,5895612,18.8
2009,Services-Producing,107942993,MS,28,5917548,18.24
2010,Services-Producing,110766358,MS,28,5940732,18.65
2011,Services-Producing,112012406,MS,28,5955794,18.81
2012,Services-Producing,106629695,MS,28,5964684,17.88
2013,Services-Producing,106859248,MS,28,5973148,17.89
2014,Services-Producing,108129777,MS,28,5975242,18.1
2015,Services-Producing,109369561,MS,28,5969918,18.32
2016,Services-Producing,113680758,MS,28,5968634,19.05
2017,Services-Producing,112702882,MS,28,5966786,18.89
2018,Services-Producing,113358733,MS,28,5949236,19.05
2019,Services-Producing,113701647,MS,28,5937962,19.15
2020,Services-Producing,117612738,MS,28,5916282,19.88
2021,Services-Producing,123407200,MS,28,5899172,20.92
2001,Goods-Producing,80416251,MO,29,11282284,7.13
2002,Goods-Producing,93192924,MO,29,11349650,8.21
2003,Goods-Producing,84753124,MO,29,11418806,7.42
2004,Goods-Producing,90196346,MO,29,11495482,7.85
2005,Goods-Producing,88942994,MO,29,11580600,7.68
2006,Goods-Producing,98428263,MO,29,11685408,8.42
2007,Goods-Producing,97391971,MO,29,11775224,8.27
2008,Goods-Producing,85161482,MO,29,11847832,7.19
2009,Goods-Producing,71440625,MO,29,11922176,5.99
2010,Goods-Producing,70661602,MO,29,11992332,5.89
2011,Goods-Producing,74887376,MO,29,12023138,6.23
2012,Goods-Producing,70457056,MO,29,12053454,5.85
2013,Goods-Producing,81014701,MO,29,12088006,6.7
2014,Goods-Producing,72042744,MO,29,12120918,5.94
2015,Goods-Producing,83363077,MO,29,12154114,6.86
2016,Goods-Producing,80980835,MO,29,12186698,6.65
2017,Goods-Producing,85089051,MO,29,12227338,6.96
2018,Goods-Producing,84720616,MO,29,12257188,6.91
2019,Goods-Producing,91270278,MO,29,12286812,7.43
2020,Goods-Producing,95748318,MO,29,12307996,7.78
2021,Goods-Producing,101690633,MO,29,12339646,8.24
2001,Services-Producing,242140481,MO,29,11282284,21.46
2002,Services-Producing,300202286,MO,29,11349650,26.45
2003,Services-Producing,253591192,MO,29,11418806,22.21
2004,Services-Producing,261573732,MO,29,11495482,22.75
2005,Services-Producing,271047764,MO,29,11580600,23.41
2006,Services-Producing,325833810,MO,29,11685408,27.88
2007,Services-Producing,329484905,MO,29,11775224,27.98
2008,Services-Producing,289300215,MO,29,11847832,24.42
2009,Services-Producing,259897613,MO,29,11922176,21.8
2010,Services-Producing,262941956,MO,29,11992332,21.93
2011,Services-Producing,278652629,MO,29,12023138,23.18
2012,Services-Producing,260758473,MO,29,12053454,21.63
2013,Services-Producing,296012156,MO,29,12088006,24.49
2014,Services-Producing,251878717,MO,29,12120918,20.78
2015,Services-Producing,318871166,MO,29,12154114,26.24
2016,Services-Producing,318749264,MO,29,12186698,26.16
2017,Services-Producing,332777006,MO,29,12227338,27.22
2018,Services-Producing,335381164,MO,29,12257188,27.36
2019,Services-Producing,354532010,MO,29,12286812,28.85
2020,Services-Producing,375380630,MO,29,12307996,30.5
2021,Services-Producing,396870707,MO,29,12339646,32.16
2001,Goods-Producing,14297075,MT,30,1813922,7.88
2002,Goods-Producing,14477943,MT,30,1823334,7.94
2003,Goods-Producing,15910134,MT,30,1839260,8.65
2004,Goods-Producing,14803629,MT,30,1860018,7.96
2005,Goods-Producing,17371320,MT,30,1880204,9.24
2006,Goods-Producing,18355352,MT,30,1905384,9.63
2007,Goods-Producing,20479548,MT,30,1929412,10.61
2008,Goods-Producing,18651907,MT,30,1952830,9.55
2009,Goods-Producing,17061685,MT,30,1967964,8.67
2010,Goods-Producing,17501380,MT,30,1981726,8.83
2011,Goods-Producing,17464043,MT,30,1996376,8.75
2012,Goods-Producing,18138043,MT,30,2010770,9.02
2013,Goods-Producing,16237311,MT,30,2031866,7.99
2014,Goods-Producing,19647733,MT,30,2049996,9.58
2015,Goods-Producing,20855034,MT,30,2068826,10.08
2016,Goods-Producing,17782118,MT,30,2091296,8.5
2017,Goods-Producing,19483388,MT,30,2115964,9.21
2018,Goods-Producing,18923825,MT,30,2133084,8.87
2019,Goods-Producing,17477453,MT,30,2150924,8.13
2020,Goods-Producing,17672603,MT,30,2174150,8.13
2021,Goods-Producing,17216514,MT,30,2212454,7.78
2001,Services-Producing,35272660,MT,30,1813922,19.45
2002,Services-Producing,37933186,MT,30,1823334,20.8
2003,Services-Producing,38764166,MT,30,1839260,21.08
2004,Services-Producing,36740272,MT,30,1860018,19.75
2005,Services-Producing,42308371,MT,30,1880204,22.5
2006,Services-Producing,46301145,MT,30,1905384,24.3
2007,Services-Producing,47144872,MT,30,1929412,24.43
2008,Services-Producing,48298609,MT,30,1952830,24.73
2009,Services-Producing,47514052,MT,30,1967964,24.14
2010,Services-Producing,50487025,MT,30,1981726,25.48
2011,Services-Producing,51834900,MT,30,1996376,25.96
2012,Services-Producing,52285339,MT,30,2010770,26
2013,Services-Producing,44259351,MT,30,2031866,21.78
2014,Services-Producing,50454780,MT,30,2049996,24.61
2015,Services-Producing,52581176,MT,30,2068826,25.42
2016,Services-Producing,48562702,MT,30,2091296,23.22
2017,Services-Producing,51857237,MT,30,2115964,24.51
2018,Services-Producing,45732103,MT,30,2133084,21.44
2019,Services-Producing,47360140,MT,30,2150924,22.02
2020,Services-Producing,48885235,MT,30,2174150,22.48
2021,Services-Producing,56087040,MT,30,2212454,25.35
2001,Goods-Producing,32693335,NE,31,3439672,9.5
2002,Goods-Producing,31887363,NE,31,3456584,9.23
2003,Goods-Producing,36565134,NE,31,3477286,10.52
2004,Goods-Producing,35704443,NE,31,3498740,10.2
2005,Goods-Producing,36910782,NE,31,3522994,10.48
2006,Goods-Producing,36850140,NE,31,3545386,10.39
2007,Goods-Producing,36550151,NE,31,3566880,10.25
2008,Goods-Producing,39171082,NE,31,3592756,10.9
2009,Goods-Producing,42221729,NE,31,3625366,11.65
2010,Goods-Producing,43231949,NE,31,3660316,11.81
2011,Goods-Producing,48560688,NE,31,3687548,13.17
2012,Goods-Producing,45013422,NE,31,3717772,12.11
2013,Goods-Producing,49471598,NE,31,3746738,13.2
2014,Goods-Producing,47586199,NE,31,3779832,12.59
2015,Goods-Producing,48090622,NE,31,3808898,12.63
2016,Goods-Producing,48994519,NE,31,3842720,12.75
2017,Goods-Producing,41254962,NE,31,3868720,10.66
2018,Goods-Producing,43131385,NE,31,3890734,11.09
2019,Goods-Producing,47371361,NE,31,3909854,12.12
2020,Goods-Producing,49484425,NE,31,3925284,12.61
2021,Goods-Producing,54908968,NE,31,3927108,13.98
2001,Services-Producing,92117658,NE,31,3439672,26.78
2002,Services-Producing,96645914,NE,31,3456584,27.96
2003,Services-Producing,97353596,NE,31,3477286,28
2004,Services-Producing,102294898,NE,31,3498740,29.24
2005,Services-Producing,105496369,NE,31,3522994,29.95
2006,Services-Producing,109118255,NE,31,3545386,30.78
2007,Services-Producing,105368807,NE,31,3566880,29.54
2008,Services-Producing,105162125,NE,31,3592756,29.27
2009,Services-Producing,110721238,NE,31,3625366,30.54
2010,Services-Producing,113591639,NE,31,3660316,31.03
2011,Services-Producing,119087645,NE,31,3687548,32.29
2012,Services-Producing,124567803,NE,31,3717772,33.51
2013,Services-Producing,123877252,NE,31,3746738,33.06
2014,Services-Producing,131781907,NE,31,3779832,34.86
2015,Services-Producing,138594698,NE,31,3808898,36.39
2016,Services-Producing,141723841,NE,31,3842720,36.88
2017,Services-Producing,132848250,NE,31,3868720,34.34
2018,Services-Producing,132199262,NE,31,3890734,33.98
2019,Services-Producing,133264333,NE,31,3909854,34.08
2020,Services-Producing,131026305,NE,31,3925284,33.38
2021,Services-Producing,154124419,NE,31,3927108,39.25
2001,Goods-Producing,33941952,NV,32,4196798,8.09
2002,Goods-Producing,31308556,NV,32,4347582,7.2
2003,Goods-Producing,36979645,NV,32,4497700,8.22
2004,Goods-Producing,44676569,NV,32,4692444,9.52
2005,Goods-Producing,45300905,NV,32,4864286,9.31
2006,Goods-Producing,51757345,NV,32,5045316,10.26
2007,Goods-Producing,50595436,NV,32,5202144,9.73
2008,Goods-Producing,45358195,NV,32,5307260,8.55
2009,Goods-Producing,38534641,NV,32,5369330,7.18
2010,Goods-Producing,37136816,NV,32,5403934,6.87
2011,Goods-Producing,36085990,NV,32,5421040,6.66
2012,Goods-Producing,32634625,NV,32,5479882,5.96
2013,Goods-Producing,30805768,NV,32,5540098,5.56
2014,Goods-Producing,30247823,NV,32,5619542,5.38
2015,Goods-Producing,30881809,NV,32,5714034,5.4
2016,Goods-Producing,34243969,NV,32,5811208,5.89
2017,Goods-Producing,39691534,NV,32,5911262,6.71
2018,Goods-Producing,41362409,NV,32,6023254,6.87
2019,Goods-Producing,40174657,NV,32,6137886,6.55
2020,Goods-Producing,46610106,NV,32,6231296,7.48
2021,Goods-Producing,47226388,NV,32,6292804,7.5
2001,Services-Producing,152331325,NV,32,4196798,36.3
2002,Services-Producing,144622843,NV,32,4347582,33.27
2003,Services-Producing,164471542,NV,32,4497700,36.57
2004,Services-Producing,179848577,NV,32,4692444,38.33
2005,Services-Producing,177200256,NV,32,4864286,36.43
2006,Services-Producing,202399507,NV,32,5045316,40.12
2007,Services-Producing,204042959,NV,32,5202144,39.22
2008,Services-Producing,199712357,NV,32,5307260,37.63
2009,Services-Producing,181462456,NV,32,5369330,33.8
2010,Services-Producing,186518042,NV,32,5403934,34.52
2011,Services-Producing,188512636,NV,32,5421040,34.77
2012,Services-Producing,191233677,NV,32,5479882,34.9
2013,Services-Producing,193673578,NV,32,5540098,34.96
2014,Services-Producing,197380838,NV,32,5619542,35.12
2015,Services-Producing,207790899,NV,32,5714034,36.37
2016,Services-Producing,211695359,NV,32,5811208,36.43
2017,Services-Producing,216754611,NV,32,5911262,36.67
2018,Services-Producing,224771223,NV,32,6023254,37.32
2019,Services-Producing,215998826,NV,32,6137886,35.19
2020,Services-Producing,211771812,NV,32,6231296,33.99
2021,Services-Producing,233084516,NV,32,6292804,37.04
2001,Goods-Producing,17015257,NH,33,2511034,6.78
2002,Goods-Producing,17676472,NH,33,2538178,6.96
2003,Goods-Producing,15797500,NH,33,2559680,6.17
2004,Goods-Producing,15875978,NH,33,2580242,6.15
2005,Goods-Producing,18502464,NH,33,2596984,7.12
2006,Goods-Producing,19381077,NH,33,2616778,7.41
2007,Goods-Producing,18881007,NH,33,2625080,7.19
2008,Goods-Producing,17446852,NH,33,2631812,6.63
2009,Goods-Producing,16321574,NH,33,2632204,6.2
2010,Goods-Producing,17848543,NH,33,2634188,6.78
2011,Goods-Producing,18454169,NH,33,2643772,6.98
2012,Goods-Producing,18106787,NH,33,2654574,6.82
2013,Goods-Producing,18978811,NH,33,2662100,7.13
2014,Goods-Producing,14793687,NH,33,2678448,5.52
2015,Goods-Producing,15191498,NH,33,2687266,5.65
2016,Goods-Producing,16443795,NH,33,2702118,6.09
2017,Goods-Producing,15339570,NH,33,2717968,5.64
2018,Goods-Producing,16413495,NH,33,2729750,6.01
2019,Goods-Producing,16987825,NH,33,2743668,6.19
2020,Goods-Producing,16662704,NH,33,2757174,6.04
2021,Goods-Producing,16955658,NH,33,2775010,6.11
2001,Services-Producing,76262005,NH,33,2511034,30.37
2002,Services-Producing,80643163,NH,33,2538178,31.77
2003,Services-Producing,68523747,NH,33,2559680,26.77
2004,Services-Producing,71501071,NH,33,2580242,27.71
2005,Services-Producing,89236993,NH,33,2596984,34.36
2006,Services-Producing,91173805,NH,33,2616778,34.84
2007,Services-Producing,90615946,NH,33,2625080,34.52
2008,Services-Producing,89787645,NH,33,2631812,34.12
2009,Services-Producing,88962619,NH,33,2632204,33.8
2010,Services-Producing,92262976,NH,33,2634188,35.03
2011,Services-Producing,93794539,NH,33,2643772,35.48
2012,Services-Producing,95280661,NH,33,2654574,35.89
2013,Services-Producing,94879263,NH,33,2662100,35.64
2014,Services-Producing,83399780,NH,33,2678448,31.14
2015,Services-Producing,81021500,NH,33,2687266,30.15
2016,Services-Producing,85059310,NH,33,2702118,31.48
2017,Services-Producing,83842483,NH,33,2717968,30.85
2018,Services-Producing,86749718,NH,33,2729750,31.78
2019,Services-Producing,90671725,NH,33,2743668,33.05
2020,Services-Producing,89490309,NH,33,2757174,32.46
2021,Services-Producing,97878207,NH,33,2775010,35.27
2001,Goods-Producing,165084806,NJ,34,16985342,9.72
2002,Goods-Producing,155269451,NJ,34,17105286,9.08
2003,Goods-Producing,161010595,NJ,34,17202804,9.36
2004,Goods-Producing,158158487,NJ,34,17269122,9.16
2005,Goods-Producing,134925378,NJ,34,17303948,7.8
2006,Goods-Producing,154547372,NJ,34,17323358,8.92
2007,Goods-Producing,147903863,NJ,34,17355770,8.52
2008,Goods-Producing,159162416,NJ,34,17422180,9.14
2009,Goods-Producing,130823545,NJ,34,17511204,7.47
2010,Goods-Producing,130215319,NJ,34,17618116,7.39
2011,Goods-Producing,117811465,NJ,34,17753918,6.64
2012,Goods-Producing,104764215,NJ,34,17866584,5.86
2013,Goods-Producing,109103815,NJ,34,17969602,6.07
2014,Goods-Producing,114966195,NJ,34,18067690,6.36
2015,Goods-Producing,109599157,NJ,34,18153154,6.04
2016,Goods-Producing,125268383,NJ,34,18239724,6.87
2017,Goods-Producing,121512755,NJ,34,18349796,6.62
2018,Goods-Producing,130948875,NJ,34,18437716,7.1
2019,Goods-Producing,134573825,NJ,34,18517608,7.27
2020,Goods-Producing,130064022,NJ,34,18543378,7.01
2021,Goods-Producing,131577666,NJ,34,18535922,7.1
2001,Services-Producing,640838030,NJ,34,16985342,37.73
2002,Services-Producing,646849278,NJ,34,17105286,37.82
2003,Services-Producing,658752014,NJ,34,17202804,38.29
2004,Services-Producing,670823059,NJ,34,17269122,38.85
2005,Services-Producing,635478980,NJ,34,17303948,36.72
2006,Services-Producing,706776784,NJ,34,17323358,40.8
2007,Services-Producing,665936010,NJ,34,17355770,38.37
2008,Services-Producing,764404454,NJ,34,17422180,43.88
2009,Services-Producing,723266055,NJ,34,17511204,41.3
2010,Services-Producing,719566521,NJ,34,17618116,40.84
2011,Services-Producing,725402257,NJ,34,17753918,40.86
2012,Services-Producing,670429703,NJ,34,17866584,37.52
2013,Services-Producing,724403751,NJ,34,17969602,40.31
2014,Services-Producing,729905740,NJ,34,18067690,40.4
2015,Services-Producing,742841768,NJ,34,18153154,40.92
2016,Services-Producing,779094191,NJ,34,18239724,42.71
2017,Services-Producing,781463448,NJ,34,18349796,42.59
2018,Services-Producing,795027269,NJ,34,18437716,43.12
2019,Services-Producing,802919327,NJ,34,18517608,43.36
2020,Services-Producing,766978280,NJ,34,18543378,41.36
2021,Services-Producing,824915585,NJ,34,18535922,44.5
2001,Goods-Producing,31715217,NM,35,3663380,8.66
2002,Goods-Producing,31650378,NM,35,3710618,8.53
2003,Goods-Producing,31184096,NM,35,3755148,8.3
2004,Goods-Producing,32952267,NM,35,3807616,8.65
2005,Goods-Producing,38692040,NM,35,3864548,10.01
2006,Goods-Producing,39296230,NM,35,3924274,10.01
2007,Goods-Producing,37544710,NM,35,3980140,9.43
2008,Goods-Producing,34178940,NM,35,4021324,8.5
2009,Goods-Producing,35058825,NM,35,4073604,8.61
2010,Goods-Producing,29891145,NM,35,4129784,7.24
2011,Goods-Producing,31198731,NM,35,4164220,7.49
2012,Goods-Producing,32495070,NM,35,4180508,7.77
2013,Goods-Producing,31953557,NM,35,4193018,7.62
2014,Goods-Producing,34601511,NM,35,4190074,8.26
2015,Goods-Producing,32892812,NM,35,4192006,7.85
2016,Goods-Producing,30669500,NM,35,4199260,7.3
2017,Goods-Producing,30895211,NM,35,4202106,7.35
2018,Goods-Producing,31985323,NM,35,4206202,7.6
2019,Goods-Producing,41976276,NM,35,4220292,9.95
2020,Goods-Producing,36320283,NM,35,4236780,8.57
2021,Goods-Producing,37900982,NM,35,4233354,8.95
2001,Services-Producing,69046035,NM,35,3663380,18.85
2002,Services-Producing,77034330,NM,35,3710618,20.76
2003,Services-Producing,75951978,NM,35,3755148,20.23
2004,Services-Producing,58995754,NM,35,3807616,15.49
2005,Services-Producing,78905786,NM,35,3864548,20.42
2006,Services-Producing,86597173,NM,35,3924274,22.07
2007,Services-Producing,85425825,NM,35,3980140,21.46
2008,Services-Producing,96304160,NM,35,4021324,23.95
2009,Services-Producing,85699745,NM,35,4073604,21.04
2010,Services-Producing,91074755,NM,35,4129784,22.05
2011,Services-Producing,96398395,NM,35,4164220,23.15
2012,Services-Producing,95309862,NM,35,4180508,22.8
2013,Services-Producing,92678999,NM,35,4193018,22.1
2014,Services-Producing,94710726,NM,35,4190074,22.6
2015,Services-Producing,92088007,NM,35,4192006,21.97
2016,Services-Producing,91845597,NM,35,4199260,21.87
2017,Services-Producing,94086830,NM,35,4202106,22.39
2018,Services-Producing,89808971,NM,35,4206202,21.35
2019,Services-Producing,96352534,NM,35,4220292,22.83
2020,Services-Producing,89734175,NM,35,4236780,21.18
2021,Services-Producing,105354995,NM,35,4233354,24.89
2001,Goods-Producing,167529759,NY,36,38165676,4.39
