name,kname,x,y
Yeungnam University,영남대학교,35.83225,128.757555555556
Youngnam Theological University and Seminary,영남신학대학교,35.8809166666667,128.817972222222
Youngsan University of Son Studies,영산선학대학교,35.3259166666667,126.440805555556
Jesus University,예수대학교,35.8155833333333,127.134583333333
Yewon Arts University,예원예술대학교,35.6471111111111,127.270555555556
Yong In University,용인대학교,37.2267222222222,127.167861111111
University of Ulsan,울산대학교,35.5439166666667,129.256333333333
Ulsan National Institute of Science and Technology,울산과학기술원,35.5734444444444,129.189638888889
Wonkwang University,원광대학교,35.9693888888889,126.957333333333
Uiduk University,위덕대학교,36.0127777777778,129.283111111111
U1 University,유원대학교,36.1958055555556,127.7995
영어: ,육군사관학교 (대한민국),37.6243611111111,127.099027777778
Korea Military Academy,육군사관학교 (대한민국),37.6243611111111,127.099027777778
Inje University,인제대학교,35.2487222222222,128.902722222222
Incheon National University,인천대학교,37.3750555555556,126.632805555556
Incheon Catholic University,인천가톨릭대학교,37.6574444444444,126.44725
Inha University,인하대학교,37.4495833333333,126.653138888889
Presbyterian University and Theological Seminary,장로회신학대학교,37.5504722222222,127.103472222222
Chonnam National University,전남대학교,35.1761111111111,126.905833333333
Jeonbuk National University,전북대학교,35.8468333333333,127.129361111111
Jeonju University,전주대학교,35.8130555555556,127.089722222222
Jeonju National University of Education,전주교육대학교,35.8083888888889,127.155277777778
Jeju National University,제주대학교,33.4553055555556,126.561611111111
Jeju International University,제주국제대학교,33.4414288888889,126.569985
Chosun University,조선대학교,35.1426666666667,126.934638888889
Joongbu University,중부대학교,36.1920833333333,127.448527777778
Joong-Ang Sangha University,중앙승가대학교,37.6046388888889,126.706027777778
Jungwon University,중원대학교,36.8195555555556,127.79925
Chinju National University of Education,진주교육대학교,35.1863888888889,128.067194444444
Cha University,차의과학대학교,37.8567222222222,127.137805555556
Changshin University,창신대학교,35.2441944444444,128.599611111111
Changwon National University,창원대학교,35.2455833333333,128.691888888889
Chungwoon University,청운대학교,36.5811666666667,126.662166666667
Cheongju National University of Education,청주교육대학교,36.6161388888889,127.484583333333
Cheongju University,청주대학교,36.6521388888889,127.728777777778
Chodang University,초당대학교,34.9778611111111,126.472888888889
Chongshin University,총신대학교,37.4886388888889,126.966805555556
Chugye University for the Arts,추계예술대학교,37.5624166666667,126.953388888889
Chuncheon National University of Education,춘천교육대학교,37.8596111111111,127.748805555556
영어: ,충북대학교,36.6285833333333,127.457583333333
ChungBuk National University,충북대학교,36.6285833333333,127.457583333333
Calvin University,칼빈대학교,37.3049444444444,127.128194444444
Pyeongtaek University,평택대학교,36.9951944444445,127.133444444444
Pohang University of Science and Technology,포항공과대학교,36.0108333333333,129.322777777778
Hankyong National University,한경국립대학교,37.0116388888889,127.264222222222
Tech University of Korea,한국공학대학교,37.3403888888889,126.7335
Korea Advanced Institute of Science and Technology,한국과학기술원,36.3719444444444,127.363055555556
Korea National University of Education,한국교원대학교,36.6083333333333,127.358333333333
Korea National University of Transportation,한국교통대학교,36.96875,127.871722222222
Korea University of Technology and Education,한국기술교육대학교,36.76375,127.281611111111
Korea National Open University,한국방송통신대학교,37.5790277777778,127.002833333333
Korean Bible University,한국성서대학교,37.6486944444444,127.064194444444
Korea National University of Arts,한국예술종합학교,37.6055,127.056055555556
Hankuk University of Foreign Studies,한국외국어대학교,37.5976111111111,127.058222222222
Korea National University of Cultural Heritage,한국전통문화대학교,36.3084722222222,126.896805555556
Korea National Sport University,한국체육대학교,37.5196388888889,127.130972222222
Korea Baptist Theological University and Seminary,한국침례신학대학교,36.3850555555556,127.326833333333
Korea Aerospace University,한국항공대학교,37.5993611111111,126.865111111111
영어: ,한국해양대학교,35.0761944444444,129.089583333333
Korea Maritime & Ocean University,한국해양대학교,35.0761944444444,129.089583333333
Hannam University,한남대학교,36.3544722222222,127.421166666667
Handong Global University,한동대학교,36.1030555555556,129.388444444444
Halla University,한라대학교,37.3028333333333,127.908111111111
Hallym University,한림대학교,37.8862777777778,127.735666666667
Hanbat National University,한밭대학교,36.3507777777778,127.300611111111
Hanseo University,한서대학교,36.6905,126.583861111111
Hansung University,한성대학교,37.5817222222222,127.010333333333
Hansei University,한세대학교,37.3454722222222,126.953305555556
Hanshin University,한신대학교,37.1935,127.022611111111
Hanyang University,한양대학교,37.5571111111111,127.045138888889
Hanil University and Presbyterian Theological Seminary,한일장신대학교,35.7635277777778,127.2065
Hyupsung University,협성대학교,37.2129166666667,126.952805555556
Honam University,호남대학교,35.1507777777778,126.768472222222
Honam Theological University&Seminary,호남신학대학교,35.1397222222222,126.911388888889
Hoseo University,호서대학교,37.3215833333333,127.12675
Howon University,호원대학교,36.96625,126.864805555556
Hongik University,홍익대학교,37.5508055555556,126.925833333333
Hwasung Medi-Science University,화성의과학대학교,37.2026388888889,126.839444444444
